Edad,Frecuencia Absoluta (ni),Frecuencia Relativa (hi),Frecuencia Absoluta Acumulada (Ni),Frecuencia Relativa Acumulada (Hi)
18,3,0.03,3,0.03
19,4,0.04,7,0.07
20,3,0.03,10,0.10
21,4,0.04,14,0.14
22,3,0.03,17,0.17
23,2,0.02,19,0.19
24,4,0.04,23,0.23
25,2,0.02,25,0.25
26,5,0.05,30,0.30
27,1,0.01,31,0.31
28,1,0.01,32,0.32
29,3,0.03,35,0.35
30,1,0.01,36,0.36
31,1,0.01,37,0.37
32,4,0.04,41,0.41
33,2,0.02,43,0.43
34,2,0.02,45,0.45
35,3,0.03,48,0.48
36,1,0.01,49,0.49
37,2,0.02,51,0.51
38,4,0.04,55,0.55
39,2,0.02,57,0.57
40,2,0.02,59,0.59
41,3,0.03,62,0.62
42,3,0.03,65,0.65
43,5,0.05,70,0.70
44,2,0.02,72,0.72
45,1,0.01,73,0.73
46,2,0.02,75,0.75
47,3,0.03,78,0.78
48,2,0.02,80,0.80
49,2,0.02,82,0.82
50,1,0.01,83,0.83
51,2,0.02,85,0.85
52,2,0.02,87,0.87
54,1,0.01,88,0.88
55,3,0.03,91,0.91
57,1,0.01,92,0.92
58,3,0.03,95,0.95
59,1,0.01,96,0.96
64,1,0.01,97,0.97
67,1,0.01,98,0.98
68,1,0.01,99,0.99
69,1,0.01,100,1.00
Total,100,1.00,100,1.00
Media,40.36
Mediana,39.50
Moda,43,26
